"","x","y","height_meter","height_ft"
"96",398146.125,3706007.875,4.42118999999997,14.505216535433
"97",398149.125,3706007.875,4.33166999999997,14.2115157480314
"98",398185.125,3706007.875,3.04469999999998,9.98917322834638
"99",398185.375,3706007.875,3.04469999999998,9.98917322834638
"100",398373.375,3706007.875,13.3102,43.6686351706037
"101",398433.375,3706007.875,7.58648157124187,24.8900314017122
"102",398438.625,3706007.875,3.98210999999998,13.0646653543306
"103",398634.875,3706007.875,6.07746062652411,19.9391752838718
"104",398745.125,3706007.875,5.59901000000002,18.3694553805775
"105",398773.125,3706007.875,5.92266482761114,19.4313150512177
"106",398776.375,3706007.875,5.97245653659782,19.594673676502
"107",398777.125,3706007.875,5.99729173169485,19.6761539753768
"108",398780.875,3706007.875,6.01913999999999,19.7478346456693
